serialid,tnscntry,isocntry,corruption,patronage,public_tender,widespread,abuse,bidding,procurement_national,procurement_local,transparency,connections,favouritism,petty_corruption,bribing,reported,court,fined,sector,employees,age,turnover
1179,5,ES,4,4,2,2,2,2,2,2,4,2,1,3,4,3,3,4,5,3,4,3
1181,5,ES,3,4,2,2,3,3,2,2,2,3,1,4,4,2,2,3,6,3,4,1
1183,5,ES,4,4,2,3,2,2,4,2,3,2,2,4,4,3,4,4,2,2,4,1
1184,5,ES,1,2,9,2,2,2,2,2,2,3,2,3,3,2,3,3,6,1,4,1
1186,5,ES,1,1,9,2,2,2,2,2,4,4,1,3,3,1,2,2,3,2,4,1
1187,5,ES,4,3,9,3,3,2,3,2,3,3,2,3,3,2,2,2,6,1,4,3
1188,5,ES,4,2,9,2,2,3,3,2,4,4,1,4,4,2,3,3,5,1,3,1
1189,5,ES,2,2,9,1,1,1,1,1,4,1,1,4,4,3,3,3,2,1,4,3
1190,5,ES,1,1,9,1,2,1,2,2,2,4,3,4,4,2,2,2,6,1,3,2
1193,5,ES,1,4,9,1,2,2,2,2,4,1,1,2,3,3,3,4,6,1,4,3
1194,5,ES,2,3,9,1,2,1,2,2,1,2,1,4,2,4,3,3,4,1,4,1
1195,5,ES,1,1,1,2,2,1,2,2,4,2,1,3,3,3,3,3,4,1,4,2
1196,5,ES,2,2,1,2,2,2,2,2,3,1,1,3,4,3,3,3,4,1,4,3
1199,5,ES,1,1,1,2,2,2,1,3,4,2,1,1,4,2,2,1,5,2,4,1
1200,5,ES,1,1,9,1,2,1,1,1,4,2,1,3,3,3,3,3,3,2,4,3
1202,5,ES,4,4,9,1,1,2,1,1,4,2,1,4,4,2,2,3,2,1,3,3
1203,6,FI,4,4,9,3,3,3,5,5,2,3,3,2,2,3,2,2,2,1,2,1
1204,6,FI,3,2,9,3,3,2,3,3,2,3,2,3,3,3,3,3,5,1,3,1
1205,6,FI,3,3,9,3,3,2,3,3,3,3,2,2,1,3,3,3,5,1,2,3
1210,6,FI,4,4,9,4,4,3,4,4,3,4,4,1,2,1,1,2,6,1,3,1
1211,6,FI,4,4,9,3,3,3,3,3,3,3,3,2,2,2,3,3,1,2,4,2
1212,6,FI,4,4,2,4,4,4,4,4,2,4,2,3,1,1,1,1,1,3,3,1
1213,6,FI,4,3,9,3,3,3,3,3,2,3,2,2,2,2,2,2,6,1,3,3
1214,6,FI,4,4,9,4,4,3,4,4,3,3,3,2,2,2,3,3,3,1,4,1
1215,6,FI,3,4,9,3,3,3,3,3,2,3,2,2,2,2,2,2,5,1,4,3
1216,6,FI,4,3,9,3,3,2,3,3,4,2,3,2,4,3,3,4,4,1,4,1
1217,6,FI,4,4,9,2,3,2,3,2,3,3,2,3,3,2,2,2,6,1,4,3
1218,6,FI,4,4,9,4,3,2,4,3,3,4,4,2,2,2,1,3,5,1,2,3
1219,6,FI,3,3,9,4,3,3,3,4,2,3,3,2,2,2,2,2,6,1,3,3
1220,6,FI,4,4,2,4,4,3,4,4,2,3,3,2,2,2,2,2,2,3,2,1
1221,6,FI,2,3,9,2,3,2,3,4,3,2,1,2,3,2,2,3,6,1,3,1
1222,6,FI,4,4,9,4,5,3,3,3,1,3,3,1,2,2,1,3,1,1,4,3
1223,6,FI,4,4,9,3,4,2,3,3,2,3,3,3,2,2,3,3,1,1,3,1
1224,6,FI,3,4,2,3,2,2,4,3,4,3,2,2,3,2,2,3,6,3,4,2
1225,6,FI,1,4,1,1,2,2,1,2,4,3,2,3,3,2,3,2,1,1,3,3
1226,6,FI,2,2,9,2,2,3,3,3,2,4,4,1,2,3,3,4,1,1,2,3
1227,6,FI,4,4,9,4,3,4,3,3,2,2,3,1,1,1,1,2,1,1,4,3
1228,6,FI,4,4,2,3,3,4,4,4,2,4,3,2,2,1,1,2,6,1,4,1
1229,6,FI,4,4,9,4,3,2,2,2,3,3,2,3,3,3,3,4,4,1,4,2
1230,6,FI,4,3,9,1,3,2,1,1,4,4,2,4,4,4,1,4,3,2,3,1
1231,6,FI,4,4,9,3,4,3,3,3,3,4,3,2,3,3,4,4,3,1,3,1
1233,6,FI,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,1,1,3,3
1236,6,FI,3,2,2,2,2,3,2,2,4,3,2,2,4,3,3,3,1,1,4,2
1239,6,FI,2,2,4,2,3,3,1,3,3,3,2,3,3,2,2,4,5,1,4,2
1244,6,FI,3,3,9,2,2,3,1,1,4,2,1,3,3,3,3,3,4,1,3,1
1246,6,FI,4,4,9,4,2,3,4,4,3,3,3,2,2,2,2,3,2,1,4,3
1247,6,FI,3,3,9,3,3,4,4,4,2,4,3,2,2,2,1,2,4,1,3,3
1248,6,FI,4,4,2,4,3,3,3,3,2,3,3,2,2,2,2,4,5,1,4,3
1249,6,FI,4,4,9,2,4,2,3,3,4,4,3,2,2,2,2,2,3,1,4,3
1250,6,FI,2,2,9,2,2,2,1,2,4,2,1,4,4,4,4,4,3,1,3,3
1252,6,FI,2,3,9,1,1,2,3,2,2,3,1,1,3,2,2,3,2,1,4,3
1253,6,FI,3,3,2,3,3,3,3,3,4,4,3,1,4,4,3,4,5,4,3,1
1254,6,FI,1,2,9,2,2,3,3,2,3,3,3,4,4,2,2,3,1,2,4,1
1255,6,FI,4,4,2,4,2,2,3,3,2,4,3,1,2,3,2,3,5,2,2,1
1256,6,FI,1,2,9,2,3,3,3,3,3,3,2,3,3,3,3,3,4,1,3,3
1257,6,FI,1,1,9,2,3,3,2,2,4,1,1,4,3,2,2,3,5,1,4,3
1258,6,FI,3,3,9,2,3,3,3,3,4,2,2,3,3,2,2,2,3,1,3,1
1260,6,FI,4,4,9,4,4,3,4,4,2,3,4,2,2,1,1,2,6,3,4,1
1261,6,FI,4,4,9,4,4,3,4,3,3,4,3,2,2,2,2,2,1,2,4,1
1262,6,FI,4,4,2,4,3,3,4,4,2,3,3,2,1,2,2,2,1,3,4,1
1263,6,FI,3,4,9,2,3,3,3,3,3,3,2,3,3,2,2,3,3,1,4,3
1264,6,FI,4,3,9,4,3,3,3,3,3,4,2,1,3,3,3,2,4,3,4,1
1265,6,FI,2,3,2,1,4,4,1,1,4,2,2,3,3,4,4,4,4,1,4,2
1267,6,FI,4,3,9,4,3,2,3,3,2,3,2,3,2,2,2,3,6,1,2,3
1270,6,FI,4,3,2,2,3,2,2,2,3,2,2,3,2,2,3,3,4,1,4,3
